symbol,open,high,low,close,volume
1301.T,4660,4675,4600,4665,49900
1305.T,4328,4336,4287,4328,85840
1306.T,428.5,429.1,424.3,427.5,11631790
1308.T,4239,4239,4191,4226,88864
1309.T,54920,55130,54090,55100,35
130A.T,432,434,421,430,11400
1311.T,2169,2169,2122,2143,8936
1319.T,760.5,760.5,748,748,6000
131A.T,1737,1737,1737,1737,0
1320.T,66530,67240,66350,67100,17327
1321.T,66800,67470,66550,67330,269220
1322.T,11540,11540,11380,11460,60
1325.T,299.8,299.8,295,298.9,13880
1326.T,63960,64200,63800,64030,5856
1328.T,16480,16540,16440,16495,24523
1329.T,6680,6750,6658,6729,599591
132A.T,220,220,220,220,0
1330.T,66910,67530,66640,67350,20579
1332.T,1277,1278.5,1229.5,1229.5,2855800
1333.T,1300,1300,1277,1280,601400
133A.T,1059,1070,1053,1070,244978
1343.T,1924,1927,1918,1925,456960
1345.T,1825,1826,1815,1821,77054
1346.T,66890,67460,66560,67400,12841
1348.T,4286,4286,4228,4255,57376
1349.T,17320,17430,17320,17430,31
134A.T,1500,1500,1500,1500,0
1356.T,104.4,106.6,104.2,104.7,4430000
1357.T,2874,2901,2820,2829,8494192
1358.T,125450,128200,124650,128200,6818
135A.T,3825,4190,3825,4180,165200
1360.T,70.5,71.2,69.1,69.4,122409640
1364.T,3796,3796,3745,3777,14215
1365.T,4070,4149,4037,4128,241351
1366.T,72,74,71,71,1161735
1367.T,3108,3110,3047,3110,37776
1368.T,151,155,151,153,45375
1369.T,64960,65560,64730,65380,677
1375.T,1170,1178,1168,1174,33800
1376.T,1640,1640,1620,1637,11000
1377.T,4365,4380,4325,4345,93700
1379.T,2155,2156,2130,2135,96900
137A.T,687,700,687,700,2100
1380.T,997,1000,997,1000,700
1381.T,3585,3600,3570,3590,2300
1382.T,875,876,875,875,400
1383.T,2999,3000,2992,2994,700
1384.T,2212,2213,2196,2207,11600
138A.T,3110,3110,3110,3110,100
1397.T,65270,65780,65270,65780,732
1398.T,1849,1850.5,1842.5,1847.5,191220
1399.T,3268,3268,3224,3231,4222
139A.T,3350,3350,3350,3350,0
1401.T,1322,1333,1322,1323,3600
1407.T,2345,2403,2309,2363,396900
140A.T,2024,2027,2024,2027,2
1414.T,1259.5,1269,1253.5,1262.5,1059300
1417.T,3580,3598,3542,3553,203100
1418.T,577,584,577,580,33500
1419.T,2855,2875,2844,2863,109100
141A.T,4080,4185,4015,4155,567900
1420.T,632,635,632,633,9200
1429.T,799,806,797,798,74300
142A.T,848,848,828,828,4900
1430.T,1031,1042,1031,1035,3900
1431.T,653,655,651,653,12700
1433.T,1268,1296,1268,1289,55900
1434.T,1584,1600,1581,1600,24600
1435.T,176,180,175,179,215300
1436.T,1730,1828,1715,1820,76400
1438.T,2283,2283,2283,2283,300
143A.T,700,700,700,700,400
1443.T,284,284,278,280,66500
1444.T,2665,2665,2665,2665,200
1446.T,537,540,537,537,2400
1447.T,411,418,410,418,25300
144A.T,450,450,450,450,0
1450.T,1470,1475,1451,1467,1900
1456.T,1290,1294,1277,1278,50661
1457.T,1753,1770,1753,1757,3886
1458.T,78860,80290,78110,80020,86907
1459.T,116,117,113,115,4530263
145A.T,904,912,902,909,6100
1466.T,197,198,195,195,493
1469.T,182,186.9,182,185.4,10390
146A.T,3515,3670,3515,3610,70500
1472.T,74,77,74,75,4285
1473.T,4200,4200,4150,4188,48850
1474.T,37200,37340,37190,37270,45
1475.T,421.8,422.5,417.6,421.6,4024800
1476.T,1842,1846,1837,1842,55698
1477.T,3396,3410,3369,3377,20876
1478.T,5442,5442,5366,5387,15821
1479.T,49500,49500,49500,49500,0
147A.T,986,996,975,995,97700
1480.T,40640,40640,40640,40640,0
1481.T,3948,3948,3928,3928,174
1482.T,1531,1534,1531,1534,24554
1483.T,3906,3906,3906,3906,0
1484.T,3896,3896,3893,3893,120
1485.T,54550,54550,54550,54550,0
1486.T,23130,23395,23020,23185,5612
1487.T,11720,11720,11695,11710,359
1488.T,1834,1835,1826,1830,68879
1489.T,3623,3628,3567,3578,755811
148A.T,1707,1707,1669,1669,200
1490.T,7970,7970,7970,7970,0
1491.T,719,719,707,710,6100
1493.T,25580,25735,25580,25735,2623
1494.T,43960,44090,43890,43960,2044
1495.T,11450,11450,11180,11285,59
1496.T,1623,1629,1623,1627,6163
1497.T,1730,1735,1730,1731,5745
1498.T,33160,33160,32470,32610,50
1499.T,9400,9400,9380,9380,312
149A.T,788,802,788,802,3700
150A.T,780,799,758,773,202600
1514.T,676,678,665,672,322100
1515.T,3535,3555,3260,3360,1811400
1518.T,2304,2317,2277,2289,355000
151A.T,654,666,645,657,11300
152A.T,1186,1186,1186,1186,0
153A.T,1457,1518,1457,1506,55900
1540.T,20930,21000,20860,20930,149864
1541.T,8265,8265,8179,8193,31153
1542.T,30400,30410,30100,30190,58382
1543.T,63310,63400,62880,63150,226
1545.T,231.6,233.8,231,233.8,2016820
1546.T,81360,81700,81000,81600,546
1547.T,13110,13185,13080,13140,10659
154A.T,6610,6610,6610,6610,0
1550.T,8084,8110,8060,8110,471
1551.T,7197,7197,7051,7051,50
1554.T,6783,6839,6767,6819,1405
1555.T,2389,2389,2350,2374,3095
1557.T,120500,121150,120100,121000,1117
1559.T,4758,4758,4640,4679,1256
155A.T,801,821,801,816,26500
1560.T,6470,6510,6450,6460,159
1563.T,2441,2511,2425,2507,62133
1566.T,53840,53840,53110,53370,256
1568.T,1007.5,1009.5,987.1,1004,2175340
1569.T,733.5,740,732.8,733.5,120740
156A.T,856,907,856,903,112200
1570.T,66000,67220,65390,66980,2384665
1571.T,304,304,299,300,377026
1572.T,6911,7170,6911,7143,4180
1573.T,8201,8201,7970,7976,1530
1577.T,61350,62000,60320,60740,18603
1578.T,5163,5205,5136,5191,3048
1579.T,711.7,726.4,706.6,723,14167750
157A.T,755,776,749,762,7400
1580.T,802.2,806.1,795,796,465020
1585.T,2660,2660,2640.5,2640.5,30
1586.T,3060,3086,3060,3083,209
158A.T,2227,2227,2227,2227,0
1591.T,37290,37290,36800,37000,1541
1592.T,3414,3414,3368,3383,3885
1593.T,38150,38150,37740,37910,191
1595.T,1828,1833,1825,1827,19694
1596.T,3074,3074,3074,3074,0
1597.T,1852,1855,1845,1854,388636
1599.T,37850,37850,37500,37500,18
159A.T,750.9,750.9,731,737.1,3560
1605.T,3925,3929,3780,3780,5239700
160A.T,1953,1975,1953,1955,3900
1615.T,792,793,773.5,787.1,4569530
1617.T,48660,48660,47940,48090,321
1618.T,36340,36340,35210,35210,1133
1619.T,44900,44900,44420,44700,906
161A.T,1125,1125,1125,1125,0
1620.T,36930,36930,36230,36540,162
1621.T,31010,31010,30370,30410,1013
