code,symbol,name,market,as_of
1301,1301.T,極洋,プライム（内国株式）,2026-08-31
1305,1305.T,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,ETF・ETN,2026-08-31
1306,1306.T,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,ETF・ETN,2026-08-31
1308,1308.T,上場インデックスファンドＴＯＰＩＸ,ETF・ETN,2026-08-31
1309,1309.T,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,ETF・ETN,2026-08-31
130A,130A.T,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース（内国株式）,2026-08-31
1311,1311.T,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,ETF・ETN,2026-08-31
1319,1319.T,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,ETF・ETN,2026-08-31
131A,131A.T,ＣＣＮグループ,PRO Market,2026-08-31
1320,1320.T,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,ETF・ETN,2026-08-31
1321,1321.T,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,ETF・ETN,2026-08-31
1322,1322.T,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,ETF・ETN,2026-08-31
1325,1325.T,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,ETF・ETN,2026-08-31
1326,1326.T,ＳＰＤＲゴールド・シェア,ETF・ETN,2026-08-31
1328,1328.T,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,ETF・ETN,2026-08-31
1329,1329.T,ｉシェアーズ・コア　日経２２５　ＥＴＦ,ETF・ETN,2026-08-31
132A,132A.T,アイエヌホールディングス,PRO Market,2026-08-31
1330,1330.T,上場インデックスファンド２２５,ETF・ETN,2026-08-31
1332,1332.T,ニッスイ,プライム（内国株式）,2026-08-31
1333,1333.T,Ｕｍｉｏｓ,プライム（内国株式）,2026-08-31
133A,133A.T,グローバルＸ　超短期米国債　ＥＴＦ,ETF・ETN,2026-08-31
1343,1343.T,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,ETF・ETN,2026-08-31
1345,1345.T,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,ETF・ETN,2026-08-31
1346,1346.T,ＭＡＸＩＳ　日経２２５上場投信,ETF・ETN,2026-08-31
1348,1348.T,ＭＡＸＩＳ　トピックス上場投信,ETF・ETN,2026-08-31
1349,1349.T,ＡＢＦ汎アジア債券インデックス・ファンド,ETF・ETN,2026-08-31
134A,134A.T,アプライズ,PRO Market,2026-08-31
1356,1356.T,ＴＯＰＩＸベア２倍上場投信,ETF・ETN,2026-08-31
1357,1357.T,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,ETF・ETN,2026-08-31
1358,1358.T,上場インデックスファンド日経レバレッジ指数,ETF・ETN,2026-08-31
135A,135A.T,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,2026-08-31
1360,1360.T,日経平均ベア２倍上場投信,ETF・ETN,2026-08-31
1364,1364.T,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,ETF・ETN,2026-08-31
1365,1365.T,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,ETF・ETN,2026-08-31
